scenario,difficulty,emotion,decision,response_time,personality,age_group,stress_level,context
money,medium,thinking,cautious,slow,balanced,young,high,social
risk,low,calm,analytical,fast,introvert,young,low,professional
health,very high,overwhelmed,impulsive,very slow,extrovert,senior,medium,professional
money,medium,concerned,cautious,slow,balanced,senior,low,social
money,high,stressed,avoidant,slow,balanced,young,medium,professional
deadline,high,anxious,avoidant,slow,introvert,senior,medium,social
health,very high,panic,proactive,very slow,balanced,senior,low,personal
money,high,anxious,avoidant,slow,balanced,senior,high,professional
ethics,high,anxious,cautious,slow,balanced,middle,low,personal
deadline,high,stressed,avoidant,very slow,balanced,young,medium,personal
risk,medium,concerned,cautious,moderate,balanced,senior,low,personal
relationship,high,stressed,avoidant,slow,extrovert,middle,high,social
risk,medium,thinking,cautious,slow,introvert,young,medium,personal
health,very high,panic,impulsive,very slow,balanced,senior,medium,professional
health,very high,panic,impulsive,very slow,introvert,senior,high,personal
relationship,high,anxious,cautious,very slow,balanced,young,low,social
relationship,medium,thinking,cautious,slow,balanced,senior,medium,social
conflict,medium,thinking,cautious,slow,introvert,middle,high,social
career,very high,panic,impulsive,very slow,balanced,senior,low,social
ethics,high,stressed,cautious,very slow,extrovert,young,low,professional
risk,low,calm,cautious,moderate,balanced,young,high,professional
career,medium,thinking,cautious,slow,introvert,senior,high,social
ethics,very high,overwhelmed,impulsive,very slow,extrovert,senior,high,personal
relationship,high,stressed,avoidant,very slow,extrovert,middle,medium,social
ethics,high,anxious,avoidant,slow,balanced,senior,medium,personal
risk,high,anxious,avoidant,very slow,balanced,young,medium,professional
deadline,very high,panic,analytical,very slow,balanced,young,high,professional
ethics,high,anxious,cautious,slow,balanced,young,low,personal
conflict,medium,thinking,cautious,slow,introvert,young,medium,social
ethics,high,stressed,avoidant,very slow,balanced,young,high,personal
ethics,very high,overwhelmed,impulsive,very slow,balanced,senior,low,personal
money,medium,concerned,cautious,moderate,balanced,senior,high,professional
ethics,very high,panic,impulsive,very slow,balanced,senior,low,personal
career,very high,overwhelmed,impulsive,very slow,balanced,middle,medium,personal
relationship,high,stressed,avoidant,very slow,extrovert,senior,high,social
ethics,very high,overwhelmed,impulsive,very slow,introvert,young,medium,social
health,high,anxious,cautious,slow,balanced,senior,low,social
conflict,medium,thinking,cautious,slow,extrovert,middle,low,personal
deadline,high,stressed,avoidant,very slow,balanced,senior,medium,professional
conflict,medium,concerned,cautious,moderate,balanced,young,medium,social
relationship,high,stressed,avoidant,slow,balanced,senior,high,social
conflict,medium,concerned,cautious,slow,introvert,middle,high,professional
relationship,high,anxious,avoidant,very slow,balanced,young,high,professional
relationship,medium,concerned,cautious,moderate,balanced,young,high,personal
ethics,high,stressed,avoidant,slow,extrovert,middle,high,professional
career,very high,panic,impulsive,very slow,introvert,senior,medium,social
risk,medium,concerned,cautious,slow,balanced,young,medium,professional
ethics,very high,panic,impulsive,very slow,balanced,young,high,professional
health,very high,overwhelmed,impulsive,very slow,extrovert,senior,medium,personal
deadline,high,stressed,cautious,slow,introvert,middle,low,professional
relationship,high,stressed,avoidant,very slow,extrovert,senior,high,personal
risk,medium,concerned,cautious,moderate,balanced,middle,low,social
deadline,high,anxious,avoidant,slow,balanced,young,medium,personal
risk,low,calm,cautious,fast,introvert,young,high,social
career,high,stressed,avoidant,very slow,balanced,middle,medium,social
ethics,very high,overwhelmed,impulsive,very slow,introvert,senior,low,personal
deadline,high,stressed,cautious,very slow,extrovert,senior,low,professional
risk,high,anxious,cautious,very slow,introvert,senior,low,professional
risk,high,stressed,avoidant,very slow,introvert,senior,medium,personal
risk,low,focused,analytical,moderate,extrovert,young,medium,social
conflict,high,stressed,cautious,slow,introvert,senior,low,social
health,high,stressed,cautious,slow,extrovert,young,low,social
ethics,very high,overwhelmed,impulsive,very slow,introvert,senior,high,social
health,very high,panic,cautious,very slow,extrovert,young,high,personal
money,high,stressed,avoidant,very slow,extrovert,middle,medium,social
risk,low,focused,cautious,fast,introvert,middle,high,social
health,very high,overwhelmed,impulsive,very slow,balanced,senior,medium,social
conflict,high,stressed,cautious,very slow,balanced,young,low,social
conflict,high,anxious,avoidant,very slow,introvert,young,medium,personal
health,very high,overwhelmed,impulsive,very slow,extrovert,middle,high,social
conflict,medium,concerned,cautious,moderate,introvert,young,high,personal
relationship,medium,thinking,cautious,moderate,introvert,young,low,professional
conflict,medium,concerned,cautious,slow,extrovert,senior,low,personal
health,high,anxious,avoidant,slow,balanced,middle,medium,social
career,medium,thinking,cautious,slow,extrovert,middle,medium,social
ethics,high,stressed,avoidant,very slow,balanced,senior,high,social
risk,medium,concerned,cautious,moderate,introvert,middle,medium,professional
risk,low,focused,analytical,moderate,balanced,middle,medium,personal
deadline,very high,overwhelmed,proactive,very slow,introvert,middle,low,personal
ethics,high,stressed,avoidant,slow,extrovert,young,high,professional
money,medium,concerned,cautious,slow,extrovert,young,medium,professional
risk,medium,concerned,cautious,slow,extrovert,young,low,personal
money,high,anxious,avoidant,slow,introvert,middle,medium,personal
conflict,high,anxious,cautious,slow,balanced,young,low,professional
relationship,high,stressed,avoidant,slow,balanced,middle,medium,personal
money,high,stressed,cautious,slow,balanced,middle,low,professional
money,medium,thinking,cautious,slow,extrovert,young,low,professional
relationship,medium,concerned,cautious,slow,balanced,senior,medium,social
money,medium,concerned,cautious,moderate,extrovert,young,high,social
career,high,anxious,cautious,very slow,balanced,senior,low,personal
risk,medium,concerned,cautious,slow,introvert,senior,medium,professional
career,high,stressed,avoidant,slow,balanced,middle,high,social
risk,medium,thinking,avoidant,slow,extrovert,senior,high,personal
health,very high,overwhelmed,impulsive,very slow,extrovert,young,high,social
career,very high,overwhelmed,proactive,very slow,balanced,young,medium,social
relationship,high,anxious,avoidant,slow,balanced,middle,medium,professional
money,medium,concerned,cautious,moderate,introvert,young,low,personal
money,medium,thinking,cautious,slow,balanced,middle,high,social
career,high,anxious,cautious,slow,balanced,senior,low,personal
deadline,high,stressed,avoidant,very slow,balanced,young,medium,social
risk,high,anxious,avoidant,very slow,balanced,middle,high,personal
money,medium,concerned,cautious,moderate,introvert,senior,low,social
relationship,medium,thinking,cautious,slow,balanced,young,high,social
conflict,medium,concerned,cautious,moderate,introvert,senior,medium,social
deadline,very high,overwhelmed,impulsive,very slow,balanced,middle,medium,professional
risk,high,anxious,cautious,very slow,balanced,senior,low,professional
risk,medium,thinking,cautious,moderate,extrovert,young,high,personal
ethics,very high,panic,cautious,very slow,extrovert,young,low,professional
money,medium,thinking,cautious,moderate,extrovert,young,low,professional
relationship,high,stressed,avoidant,slow,introvert,senior,medium,social
risk,medium,concerned,cautious,moderate,extrovert,senior,high,social
health,high,stressed,avoidant,very slow,introvert,young,medium,professional
career,high,anxious,avoidant,slow,extrovert,senior,high,personal
health,very high,panic,impulsive,very slow,introvert,middle,low,professional
conflict,high,anxious,avoidant,slow,extrovert,senior,medium,social
deadline,high,stressed,avoidant,slow,extrovert,senior,high,personal
relationship,medium,thinking,cautious,slow,extrovert,middle,high,social
conflict,high,stressed,avoidant,very slow,introvert,middle,medium,social
ethics,very high,overwhelmed,impulsive,very slow,balanced,young,medium,personal
relationship,high,anxious,proactive,slow,balanced,young,low,social
health,high,stressed,avoidant,very slow,balanced,young,medium,professional
relationship,medium,concerned,cautious,moderate,balanced,senior,medium,social
career,high,anxious,cautious,very slow,extrovert,young,low,professional
career,high,anxious,avoidant,very slow,introvert,middle,high,professional
money,medium,thinking,cautious,moderate,balanced,middle,low,professional
risk,medium,concerned,cautious,moderate,introvert,young,high,professional
risk,medium,thinking,cautious,slow,introvert,senior,medium,personal
career,very high,overwhelmed,impulsive,very slow,introvert,young,medium,professional
deadline,high,anxious,avoidant,slow,balanced,young,high,social
ethics,very high,panic,impulsive,very slow,extrovert,young,high,social
money,medium,concerned,cautious,slow,extrovert,young,high,personal
conflict,high,stressed,avoidant,slow,balanced,senior,high,professional
relationship,medium,concerned,cautious,slow,extrovert,young,high,professional
risk,low,focused,analytical,fast,extrovert,middle,low,personal
conflict,medium,thinking,cautious,moderate,extrovert,young,high,social
conflict,high,anxious,avoidant,slow,balanced,senior,medium,social
money,high,stressed,avoidant,slow,introvert,young,high,social
conflict,medium,concerned,cautious,slow,extrovert,middle,medium,professional
deadline,high,stressed,cautious,slow,extrovert,senior,low,social
deadline,very high,panic,impulsive,very slow,balanced,senior,low,personal
conflict,high,stressed,cautious,slow,extrovert,young,low,professional
deadline,high,stressed,avoidant,slow,extrovert,senior,high,social
money,medium,thinking,cautious,moderate,balanced,middle,low,social
conflict,high,anxious,avoidant,slow,introvert,middle,high,social
ethics,high,anxious,avoidant,very slow,extrovert,middle,medium,social
health,high,anxious,cautious,slow,introvert,young,low,social
deadline,very high,overwhelmed,impulsive,very slow,balanced,young,high,professional
deadline,very high,overwhelmed,impulsive,very slow,introvert,senior,high,personal
relationship,medium,concerned,analytical,slow,introvert,young,high,professional
risk,low,calm,analytical,fast,introvert,middle,low,personal
deadline,very high,panic,impulsive,very slow,introvert,middle,medium,professional
conflict,medium,thinking,cautious,slow,extrovert,young,low,social
conflict,medium,concerned,cautious,moderate,balanced,young,low,social
deadline,very high,overwhelmed,impulsive,very slow,balanced,middle,medium,social
ethics,very high,overwhelmed,impulsive,very slow,extrovert,young,high,personal
career,medium,concerned,cautious,slow,extrovert,senior,low,social
conflict,medium,thinking,avoidant,slow,extrovert,senior,high,personal
health,high,stressed,avoidant,slow,extrovert,senior,high,professional
risk,medium,thinking,cautious,moderate,balanced,senior,high,personal
risk,medium,thinking,cautious,slow,extrovert,young,high,personal
risk,medium,thinking,cautious,slow,balanced,young,high,professional
